Luminal A (>0.32),Luminal B (>0.28),ERRB2+ (>0.34)  ,Basal (>0.41),Normal-like (>0.31)
Norway 64-BE,Norway 26-BE,Norway FU27-BE,Norway FU12-BE,Norway H2
Norway 98-BE,Norway 7-BE,Norway FU35-BE,Norway FU23-BE,NomrBreast1
Norway 29-BE,Norway 48-BE,Norway 61-BE,Norway FU39-BE,NormBreast3
Norway 4-BE,Norway 22-BE,Norway 101-BE,Stanford 48,NormBreast2
Norway FU24-BE,Norway,Norway 92-BE,Stanford 14,Benign STF 37
,95-BE,,,
Norway 16-BE,Norway 5-BE,Norway FU18-BE,Norway FU06-BE,Benign STF 20
Norway 56-BE,Norway FU05-BE,Norway FU04-BE,Norway FU01-BE,Benign STF 11
Norway 18-BE,Norway 15-BE,Norway 65-2ndT,Stanford LN46,Stanford 17
Norway FU15-BE,Norway 19-BE,Norway FU44-BE,Norway 41-BE,NorwNormBrast
Norway FU37-BE,Norway 102-BE,Norway FU30-AF,Stanford 23,Norway 112-BE
Norway FU17-AF,Norway 11-BE,Norway 57-BE,New York 2,
Norway FU16-BE,,,Norway H5,
Stanford LN4,,,Norway 81-AF,
Norway 8-BE,,,Norway 63-BE,
New York 1,,,Norway 21-BE,
Stanford 38,,,Norway 37-BE,
Stanford 31,,,Norway 109-BE,
Stanford 18,,,Norway FU19-BE,
Norway 27-BE,,,New York 3,
Norway 6-BE,,,,
Norway 74-BE,,,,
Norway FU10-BE,,,,
Stanford 24,,,,
Stanford 40,,,,
Norway FU40-BE,,,,
Norway FU25-BE,,,,
Norway FU14-BE,,,,
Norway 2-BE,,,,
